Post-OCR Excelsior 1937-1940 - Llama 3.2 (conservador)
Inicio: 2026-09-14T10:09:38.275050
pagina,lineas_procesadas,lineas_corregidas
Excelsior-1940-10-01-N1087_p034,26,13
Excelsior-1940-10-01-N1087_p035,109,63
Excelsior-1940-10-01-N1087_p036,95,45
Excelsior-1940-10-01-N1087_p037,83,45
Excelsior-1940-10-01-N1087_p038,69,34
Excelsior-1940-10-01-N1087_p039,102,49
Excelsior-1940-10-01-N1087_p040,57,29
Excelsior-1940-10-01-N1087_p041,24,11
Excelsior-1940-10-01-N1087_p042,140,81
Excelsior-1940-10-01-N1087_p043,128,62
Excelsior-1940-10-01-N1087_p044,152,84
Excelsior-1940-10-01-N1087_p045,67,23
Excelsior-1940-10-01-N1087_p046,7,2
